provincia,municipio,id,link_2,"1869 total","1869 hombres","1869 mujeres","1881 total","1881 hombres","1881 mujeres","1895 total","1895 hombres","1895 mujeres","1914 total","1914 hombres","1914 mujeres","1947 total","1947 homres","1947 mujeres","1960 total","1960 hombres","1960 mujeres","1970 total","1970 hombres","1970 mujeres","1980 total","1980 hombres","1980 mujeres","1991 total","1991 hombres","1991 mujeres","2001 total","2001 hombres","2001 mujeres","2010 total","2010 hombres","2010 mujeres"
"Buenos Aires",Ramallo,102,103,3140,1640,1500,4397,2415,1982,7324,4236,3088,15899,9629,6270,16441,9420,7021,17548,9549,7999,18339,9533,8806,22704,11717,10987,26868,13573,13295,29179,14502,14677,33042,16320,16722
"Buenos Aires",Rauch,103,104,6844,4010,2834,7284,4114,3170,8362,4462,3900,10249,5536,4713,13493,6982,6511,12848,6520,6328,13201,6760,6441,13216,6643,6573,13909,6909,7000,14434,7090,7344,15176,7450,7726
"Buenos Aires",Rivadavia,104,105,,,,,,,,,,13120,7628,5492,13832,7535,6297,12442,6774,5668,12098,6215,5883,13483,7010,6473,14996,7630,7366,15452,7817,7635,17143,8779,8364
"Buenos Aires",Rojas,105,106,2968,1629,1339,6303,3600,2703,6676,3676,3000,18742,11899,6843,28075,17230,10845,21401,11418,9983,20651,10556,10095,21512,10759,10753,22690,11250,11440,22842,11003,11839,23432,11382,12050
"Buenos Aires","Roque Pérez",106,107,,,,,,,,,,7198,3979,3219,10958,6409,4549,9798,5048,4750,9027,4567,4460,9269,4683,4586,9639,4824,4815,10902,5382,5520,12513,6220,6293
"Buenos Aires",Saavedra,107,108,,,,,,,5953,3652,2301,10688,5781,4907,15619,8283,7336,16956,8872,8084,17091,8758,8333,18312,9367,8945,19407,9644,9763,19715,9618,10097,20749,10514,10235
"Buenos Aires",Saladillo,108,109,7341,4343,2998,9635,5416,4219,15209,8857,6352,19024,10440,8584,24591,12631,11960,23554,11995,11559,23214,11726,11488,24727,12355,12372,26200,12785,13415,29600,14491,15109,32103,15683,16420
"Buenos Aires",Salliqueló,109,110,,,,,,,,,,,,,,,,,,,6156,3189,2967,7207,3662,3545,8445,4253,4192,8682,4278,4404,8644,4217,4427
"Buenos Aires",Salto,110,111,4143,2261,1882,6715,3696,3019,6894,3521,3373,14660,9001,5659,25746,7771,17975,21953,11656,10297,22639,11802,10837,25683,13143,12540,27878,14020,13858,29189,14268,14921,32653,15969,16684
"Buenos Aires","San Andrés de Giles",111,112,3820,1977,1843,5539,3110,2429,9211,5398,3813,11712,6468,5244,14270,7863,6407,14837,7744,7093,15433,8021,7412,16353,8325,8028,18302,9255,9047,20829,10430,10399,23027,11509,11518
"Buenos Aires","San Antonio de Areco",112,113,2814,1453,1361,4326,2379,1947,7296,4033,3263,10852,5944,4908,12841,7024,5817,13466,6907,6559,14255,7175,7080,16370,8113,8257,18848,9255,9593,21333,10463,10870,23138,11353,11785
"Buenos Aires","San Cayetano",113,114,,,,,,,,,,,,,,,,10727,5824,4903,9543,5090,4453,8865,4619,4246,8687,4392,4295,8119,4028,4091,8399,4169,4230
"Buenos Aires","San Fernando",114,115,4154,2126,2028,5513,2896,2617,11324,6265,5059,24660,13461,11199,44666,22679,21987,92302,46444,45858,119565,59948,59617,133624,65836,67788,144763,70415,74348,151131,72787,78344,163240,78645,84595
"Buenos Aires","San Isidro",115,116,3955,2086,1869,4826,2705,2121,9912,5412,4500,19092,10319,8773,90086,44892,45194,188065,91751,96314,250008,120782,129226,289170,138721,150449,299023,142342,156681,291505,137430,154075,292878,138407,154471
"Buenos Aires","San Miguel",116,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,253086,123400,129686,276190,134584,141606
"Buenos Aires","San Nicolás de Los Arroyos",117,118,9491,4724,4767,15165,7712,7453,18706,9550,9156,29568,15579,13989,39352,20729,18623,64050,33611,30439,82925,42214,40711,114241,57558,56683,132918,65975,66943,137867,67240,70627,145857,71171,74686
"Buenos Aires","San Pedro",118,119,5377,2790,2587,7573,3940,3633,14083,8411,5672,22176,12670,9506,29971,16209,13762,33100,17260,15840,34350,17609,16741,41049,20928,20121,48851,24529,24322,55234,27482,27752,59036,29066,29970
"Buenos Aires","San Vicente",119,120,4249,2320,1929,6358,3493,2865,7669,4279,3390,6013,3102,2911,8000,4242,3758,25638,13012,12626,39187,19861,19326,55803,28083,27720,74866,37327,37539,44529,21963,22566,59478,29288,30190
"Buenos Aires",Suipacha,120,121,1829,1052,777,3316,1979,1337,3616,2050,1566,5290,2868,2422,6490,3605,2885,7380,3969,3411,7245,3803,3442,7525,3821,3704,8038,4069,3969,8904,4479,4425,10081,4975,5106
"Buenos Aires",Tandil,121,122,4870,2680,2190,8762,5170,3592,14982,8564,6418,34061,19593,14468,56603,29967,26636,69005,35710,33295,76933,39220,37713,91873,45725,46148,101228,49246,51982,108109,52287,55822,123871,59904,63967
"Buenos Aires",Tapalqué,122,123,2394,1390,1004,4609,2654,1955,5873,3146,2727,8314,4560,3754,10643,5690,4953,9443,4865,4578,8582,4471,4111,8065,4125,3940,8111,4069,4042,8296,4125,4171,9178,4536,4642
"Buenos Aires",Tigre,123,124,3329,2155,1174,4715,2888,1827,8978,5394,3584,16691,9577,7114,58348,32780,25568,91725,47253,44472,152335,77626,74709,206349,103286,103063,257922,127987,129935,301223,148057,153166,376381,184774,191607
"Buenos Aires",Tordillo,124,125,705,418,287,1520,859,661,1718,906,812,1667,867,800,2189,1168,1021,1956,1078,878,1715,918,797,1533,811,722,1444,777,667,1742,913,829,1764,928,836
"Buenos Aires",Tornquist,125,126,,,,,,,,,,7232,4290,2942,9158,5094,4064,9535,5312,4223,10268,5679,4589,10062,5317,4745,10742,5587,5155,11759,5902,5857,12723,6354,6369
"Buenos Aires","Trenque Lauquen",126,127,,,,,,,11704,6835,4869,15746,8710,7036,24624,13098,11526,26748,13899,12849,28183,14334,13849,33207,16826,16381,35289,17627,17662,40181,19827,20354,43021,21054,21967
"Buenos Aires","Tres Arroyos",127,128,550,443,107,6595,4486,2109,10423,6122,4301,32844,18057,14787,48757,25573,23184,50670,25878,24792,52134,26032,26102,54329,26704,27625,56679,27411,29268,57244,27676,29568,57110,27720,29390
"Buenos Aires","Tres de Febrero",128,129,,,,,,,,,,,,,,,,263391,132465,130926,313460,156268,157192,345424,168196,177228,349376,167417,181959,336467,159781,176686,340071,161806,178265
"Buenos Aires","Tres Lomas",129,130,,,,,,,,,,,,,,,,,,,,,,,,,7596,3863,3733,7439,3719,3720,8700,4291,4409
"Buenos Aires","Veinticinco de Mayo",130,131,10385,5858,4527,12711,7018,5693,20317,11614,8703,31094,17508,13586,39420,21133,18287,34946,18236,16710,33997,17553,16444,34509,17442,17067,34252,16870,17382,34877,16997,17880,35842,17340,18502
"Buenos Aires","Vicente López",131,132,,,,,,,,,,12100,6943,5157,149958,74992,74966,247656,118694,128962,285178,136364,148814,291072,137434,153638,289505,135426,154079,274082,127238,146844,269420,125792,143628
"Buenos Aires","Villa Gesell",132,133,,,,,,,3377,2200,1177,10550,6590,3960,16751,9832,6919,20318,11582,8736,20445,11294,9151,21735,11555,10180,24427,12876,11551,26517,13506,13011,31730,15920,15810
"Buenos Aires",Villarino,133,134,,,,,,,,,,,,,,,,,,,,,,11632,6054,5578,16012,7960,8052,24282,11972,12310,31014,15677,15337
"Buenos Aires",Zárate,134,135,4211,2517,1694,5309,2847,2462,12181,7509,4672,23595,13901,9694,39886,21360,18526,55503,28668,26835,61546,31068,30478,78046,39526,38520,91600,45643,45957,101271,49907,51364,114269,56970,57299
